gender,education,age,online,occupation,mortgage,region,car_prob,fam_income,flag
M,4. Grad,1_Unk,N,Professional,1Low,Midwest,1,L,Y
F,3. Bach,7_>65,N,Professional,1Low,Northeast,3,G,N
M,2. Some College,2_<=25,Y,Professional,1Low,Midwest,1,J,N
M,2. Some College,2_<=25,Y,Sales/Service,1Low,West,2,L,Y
F,2. Some College,1_Unk,Y,Sales/Service,1Low,South,7,H,Y
F,3. Bach,6_<=65,Y,Professional,2Med,West,1,G,Y
M,3. Bach,1_Unk,Y,Professional,1Low,Northeast,5,C,Y
F,3. Bach,5_<=55,Y,Professional,1Low,South,2,I,N
F,1. HS,4_<=45,Y,Blue Collar,1Low,West,5,D,N
M,1. HS,1_Unk,Y,Sales/Service,1Low,Northeast,6,G,Y
M,2. Some College,7_>65,Y,Sales/Service,2Med,Midwest,3,E,N
F,3. Bach,4_<=45,N,Blue Collar,1Low,South,3,E,Y
F,2. Some College,5_<=55,Y,Professional,3High,Midwest,1,J,Y
M,0. <HS,2_<=25,Y,Others,1Low,West,6,C,N
F,3. Bach,6_<=65,Y,Professional,1Low,South,2,A,Y
M,0. <HS,1_Unk,Y,Professional,1Low,South,7,C,Y
F,1. HS,7_>65,N,Retired,1Low,South,5,E,N
F,2. Some College,5_<=55,Y,Sales/Service,2Med,Midwest,3,F,Y
M,0. <HS,1_Unk,N,Blue Collar,1Low,Midwest,9,C,N
M,1. HS,4_<=45,Y,Blue Collar,1Low,South,6,E,N
F,4. Grad,3_<=35,Y,Sales/Service,3High,West,3,F,Y
M,3. Bach,4_<=45,N,Professional,1Low,West,8,F,Y
F,2. Some College,4_<=45,Y,Blue Collar,1Low,Midwest,4,G,N
U,0. <HS,3_<=35,N,Professional,1Low,South,1,D,N
M,0. <HS,1_Unk,N,Sales/Service,1Low,Northeast,8,A,N
M,3. Bach,3_<=35,Y,Sales/Service,1Low,South,2,F,Y
M,4. Grad,3_<=35,Y,Professional,2Med,West,4,F,Y
M,1. HS,1_Unk,N,Blue Collar,1Low,Northeast,5,D,N
M,2. Some College,6_<=65,Y,Professional,1Low,Midwest,3,F,Y
F,2. Some College,2_<=25,Y,Sales/Service,2Med,South,4,E,N
F,2. Some College,5_<=55,Y,Blue Collar,1Low,Midwest,3,D,Y
M,1. HS,5_<=55,Y,Professional,3High,West,1,F,Y
M,2. Some College,5_<=55,Y,Sales/Service,1Low,Midwest,2,J,Y
F,4. Grad,3_<=35,Y,Professional,1Low,Northeast,2,E,Y
M,2. Some College,3_<=35,N,Professional,2Med,South,1,F,Y
M,4. Grad,5_<=55,Y,Professional,1Low,Northeast,5,D,N
M,0. <HS,1_Unk,N,Sales/Service,1Low,West,1,H,N
F,3. Bach,7_>65,Y,Retired,3High,South,1,L,Y
F,1. HS,3_<=35,N,Sales/Service,1Low,Midwest,3,D,N
M,1. HS,4_<=45,N,Sales/Service,1Low,South,3,A,Y
F,2. Some College,2_<=25,N,Sales/Service,1Low,Midwest,5,D,N
M,3. Bach,5_<=55,N,Professional,1Low,West,1,L,N
F,1. HS,5_<=55,Y,Sales/Service,1Low,South,4,E,N
F,0. <HS,6_<=65,Y,Retired,2Med,West,1,F,N
M,4. Grad,4_<=45,N,Professional,1Low,South,1,G,Y
F,3. Bach,1_Unk,Y,Sales/Service,1Low,Midwest,2,F,N
M,1. HS,5_<=55,Y,Blue Collar,1Low,Midwest,3,B,N
M,2. Some College,1_Unk,N,Sales/Service,1Low,South,8,E,N
F,2. Some College,6_<=65,N,Sales/Service,1Low,South,3,E,N
F,2. Some College,4_<=45,Y,Professional,3High,South,1,B,Y
M,2. Some College,5_<=55,N,Professional,1Low,West,1,E,N
F,1. HS,2_<=25,N,Professional,1Low,Northeast,1,K,N
F,0. <HS,5_<=55,Y,Sales/Service,2Med,South,1,G,Y
M,1. HS,5_<=55,Y,Blue Collar,1Low,Midwest,8,E,N
F,2. Some College,2_<=25,Y,Sales/Service,1Low,West,3,A,N
F,4. Grad,7_>65,Y,Professional,1Low,Northeast,4,E,N
F,0. <HS,4_<=45,N,Sales/Service,1Low,South,9,A,N
F,1. HS,1_Unk,Y,Sales/Service,1Low,West,9,A,N
M,0. <HS,1_Unk,N,Sales/Service,1Low,Northeast,2,A,N
U,4. Grad,1_Unk,N,Professional,3High,Midwest,6,J,N
F,1. HS,5_<=55,Y,Sales/Service,1Low,South,8,B,N
M,4. Grad,3_<=35,Y,Blue Collar,1Low,Northeast,3,D,Y
M,3. Bach,6_<=65,Y,Professional,3High,Northeast,1,H,Y
M,3. Bach,6_<=65,Y,Professional,1Low,South,1,K,Y
M,3. Bach,5_<=55,Y,Sales/Service,3High,South,1,J,Y
F,,4_<=45,Y,Blue Collar,1Low,South,3,D,N
F,2. Some College,2_<=25,N,Sales/Service,1Low,South,7,A,N
F,1. HS,5_<=55,Y,Blue Collar,1Low,Midwest,5,E,N
F,1. HS,5_<=55,N,Sales/Service,2Med,Northeast,1,K,N
M,3. Bach,1_Unk,N,Professional,1Low,South,1,E,N
F,4. Grad,6_<=65,Y,Professional,1Low,South,2,A,Y
F,1. HS,7_>65,N,Retired,1Low,Midwest,4,C,N
F,2. Some College,6_<=65,Y,Professional,1Low,Midwest,1,E,N
M,3. Bach,5_<=55,Y,Professional,1Low,Midwest,6,F,N
F,3. Bach,4_<=45,Y,Sales/Service,1Low,South,3,G,Y
F,2. Some College,1_Unk,Y,Sales/Service,1Low,Northeast,2,H,N
M,3. Bach,4_<=45,Y,Professional,1Low,Midwest,3,E,Y
M,1. HS,4_<=45,Y,Sales/Service,1Low,South,8,E,Y
M,3. Bach,1_Unk,Y,Sales/Service,1Low,South,1,F,Y
F,3. Bach,6_<=65,Y,Retired,1Low,South,2,C,N
F,1. HS,3_<=35,Y,Sales/Service,1Low,South,8,G,N
U,0. <HS,1_Unk,N,Sales/Service,1Low,South,6,A,N
M,,1_Unk,Y,Others,2Med,Midwest,1,L,Y
M,4. Grad,6_<=65,Y,Professional,2Med,Midwest,2,F,Y
F,2. Some College,4_<=45,N,Sales/Service,1Low,West,3,D,N
F,2. Some College,4_<=45,Y,Sales/Service,1Low,West,6,B,N
U,0. <HS,1_Unk,Y,Sales/Service,1Low,South,8,D,N
M,2. Some College,7_>65,Y,Retired,1Low,Northeast,2,G,N
M,2. Some College,3_<=35,N,Sales/Service,1Low,West,5,F,Y
F,2. Some College,2_<=25,Y,Sales/Service,1Low,Northeast,3,E,Y
M,0. <HS,3_<=35,N,Professional,1Low,Midwest,2,E,N
M,0. <HS,6_<=65,N,Others,1Low,Midwest,7,B,N
U,2. Some College,1_Unk,Y,Sales/Service,1Low,South,2,K,N
F,1. HS,3_<=35,N,Sales/Service,1Low,South,6,C,N
M,2. Some College,1_Unk,N,Blue Collar,1Low,Midwest,9,D,N
F,2. Some College,2_<=25,Y,Professional,1Low,West,1,G,N
F,2. Some College,1_Unk,Y,Sales/Service,2Med,West,3,B,N
F,1. HS,5_<=55,Y,Professional,1Low,South,2,B,N
F,1. HS,6_<=65,Y,Sales/Service,1Low,Northeast,7,B,N
F,2. Some College,7_>65,N,Retired,1Low,West,3,F,N
F,4. Grad,4_<=45,Y,Professional,1Low,South,2,E,N
F,3. Bach,4_<=45,N,Professional,1Low,South,1,E,Y
F,2. Some College,4_<=45,Y,Professional,1Low,Northeast,6,B,N
M,1. HS,1_Unk,N,Sales/Service,1Low,West,2,E,Y
M,3. Bach,5_<=55,Y,Sales/Service,1Low,South,1,G,Y
M,2. Some College,1_Unk,N,Sales/Service,1Low,South,8,E,Y
M,1. HS,5_<=55,Y,Blue Collar,1Low,Midwest,8,E,N
M,4. Grad,6_<=65,N,Professional,3High,West,1,I,Y
M,,1_Unk,Y,Others,1Low,South,1,D,Y
F,3. Bach,7_>65,Y,Retired,1Low,Midwest,2,D,N
